qid,query,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10
68,Q: List of multiple sclerosis symptoms\nA:,2 types of nephropathy : adenomatous disease :,Multiple sclerosis symptoms include:,a variety of conditions,2 -rd,ocular pain,"'s symptoms ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ', 's causes ',",,[IV],MRSA,", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"
72,Q: Is the Covid-19 vaccine safe for people taking multiple sclerosis drugs?\nA:,br>,no,No,"The Covid-19 vaccine is considered safe because it is a vaccine, which has been shown to be effective and reduce the risk of multiple sclerosis.",Yes,a).,No,Yes,No,No
77,Q: How do menopause symptoms relate to multiple sclerosis symptoms?\nA:,The menopause is a shortened period of time between the onset of menopause and onset of melatonin-related symptoms.,"Menopause symptoms also include a decrease in blood clots, a reduction in the ability to have a normal spleen, and the decrease in the amount of bone.",Menopause,Menopause symptoms are caused by a decrease in the number of menstrual cycles during which women experience symptoms of multiple sclerosis (MCS).,Multiple sclerosis,Menopause,Menopause symptoms,menopause symptoms,menopause symptoms,Menopause symptoms
79,Q: Can I pass multiple sclerosis to other family members?\nA:,No,"I have had multiple sclerosis since childhood, and I'm a patient of the stethoscope. I've been diagnosed with my second sclerosis, which I am currently taking. I've been diagnosed with my third sclerosis and I'm currently taking a medication for my second sclerosis. I'm a family member of the second sclerosis patient.",Yes,Multiple sclerosis is a genetic disease characterized by abnormal blood flow and altered brain function.,I have not been diagnosed with multiple sclerosis.,"Yes, but not if they are unable to pass.","There are no known cures for multiple sclerosis, though some people may have a positive experience.",Yes,No,"Yes, but they're not the only one."
81,Q: Can I work and study full-time with multiple sclerosis?\nA:,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No
83,Q: Why get episode diagnosed by a doctor as a relapse of multiple sclerosis?\nA:,Multiple sclerosis may have relapsed over time,A relapse of multiple sclerosis,nephrogenic aneurysm,(i) the symptoms of multiple sclerosis,a severe ailment,A relapse of MS,a history of multiple sclerosis,The relapse causes an increase in blood pressure,a relapse,to confirm multiple sclerosis
85,Q: Relapsing remitting multiple sclerosis\nA:,a relapse of multiple sclerosis,MSI,,,remitting multiple sclerosis,,rn-,rhododenosis,Symptoms of multiple sclerosis,a relapse
86,Q: Secondary progressive multiple sclerosis\nA:,tpm,mrs,dr.,,osser,mls,,dPMC,,
92,Q: causes of fatigue in MS\nA:,stress,a coma,muscle fatigue,A.,hypertension,the onset of muscle fatigue,coma,stress,It is not possible to detect fatigue from a single individual,a physiological mechanism
93,Q: Does multiple sclerosis relate to sleeping problems and forgetfulness in older people?\nA:,no,no,yes,yes,no,Yes,no,yes,Yes,Yes
94,Q: When will I start to feel better with multiple sclerosis?\nA:,I will start to feel better with MS about four years later,I will start to feel better about my condition,in the coming months,I will feel better after a month or so,(iv),gradually,later in life,a few months after,When I feel better,After a few years
95,Q: Reading problems in MS\nA:,a. The ability to read the right type of words and their corresponding words is a great way to read the right way.,MS Word n,) n,: int ed,Using the dictionary to read a list,,n,Microsoft Word,Reading problems in MS,A. Invert a decimal sign into a digit number.
96,Q: most efficient and sustainable diets\nA:,,diets,dietary supplements,Eating fewer fruits and vegetables and using a nutrient-rich diet,ingestion,are based on foods that are 100% biodegradable,diets,diets based on plant-based food sources,.,.
97,Q: benefits of physical activity\nA:,the cardiovascular system,It improves the body's overall health,healthy,physical activity increases the effectiveness of our cardiovascular system,physical activity can improve health,a reduction of heart rate,physical activity is a great way to reduce the risk of heart disease,physical activity increases blood flow to the body and lowers the risk of heart disease,physical activity can increase the amount of calories you eat,physical activity can be beneficial for a healthy and active lifestyle
98,Q: most common complications in pregnancy\nA:,uterine anemia,fetal reflux,ectopic pregnancy,pregnancy complications,lactation,Severe acute uterine hemorrhage,edema,pregnancy complications,fetuses,adenocarcinoma
101,Q: heavy flares swelling lymph nodes\nA:,,the tummy,swollen lymph nodes,swollen lymph nodes,,,a swollen neck,; heavy flares swelling lymph nodes,swollen,.
102,Q: randomly gotten eczema\nA:,a different skin color,a lot of time,i didn't know,a lot of freckles,a bit sour,a little bit,czema,,'s been in the past,psilocystis
105,Q: wisdom tooth cuts gum pain\nA:,pain,,a swollen gum,pain and discomfort,gum pain,dreaded to cut gum,pain n,a swollen throat,,toothache
107,Q: medication adhd anxiety\nA:,Adhd,rheumatoid arthritis,nalax,tretinoin,,ecstasy,Adhd,Adhd,apchd,fentanyl
108,Q: chronic diarrhea short-term memory sweating inability to regulate body temperature heart palpitations dysautonomia\nA:,dysautonomia,dysautonomia,dysautonomia,dysautonomia,dysautonomia,dysautonomia,dysautonomia,dysautonomia,dysautonomia,dysautonomia
109,Q: ehlers danlos syndrome POTS nausea stomach pain\nA:,ehlers danlos syndrome,,ehlers danlos syndrome,ehlers danlos syndrome,ehlers danlos syndrome,ehlers danlos syndrome,POTS,pain,nausea stomach pain,ehlers danlos syndrome
112,Q: symptoms of asthma\nA:,bronchitis,a wheezing,asthmatic symptoms,irritability,bronchitis,irritability,Aortic inflamation,bronchitis,drowsiness,hepatitis
113,Q: asthma and covid\nA:,asthma,pneumonia,a respiratory virus,respiratory problems,respiratory system,pulmonary asthma,asthma and covid,asthma,symptoms,C. m.c.
114,Q: borderline personality disorder symptoms\nA:,are often accompanied by symptoms of depression,a spectrum of symptoms,rti,"a low mood, a low IQ,",symptoms,symptom of borderline personality disorder,a,a strong personality disorder,:,irritability
116,Q: outcome prostate cancer\nA:,invasive,a good outcome,,it has been a controversial disease,disease,,the severity of the disease,is not well tolerated,is a tumor,a rare form of cancer
117,Q: stage 4 metastatic lung cancer outcome\nA:,adenocarcinoma,adipose tissue,0,a negative outcome,1,inactivation,a positive outcome,a metastatic hepatobiliary tumor,"The outcome of metastatic lung cancer is usually a disease, characterized by a loss of colorectal tissues.",nephrotoxicity
118,Q: stage 4 triple negative breast cancer treatment\nA:,a prophylaxis regimen,breast cancer treatment,a combination of chemotherapy and anti-cancer drugs,chemotherapy,,Breast cancer chemotherapy,a triple negative,Breast cancer,an estrogen treatment,chemo
119,Q: best pillow neck pain\nA:,a pillow that is gentle enough to keep you from getting neck pain,a mattress with soft lycra,h&gt;,sagging neck pillow,sleep pillow,Sleep pillow,a pillow that is comfortable,a neck pillow,Good pillow,sleep good
121,Q: numb fingers arthritis\nA:,numbing fingers,,numbness,numb fingers,numbness,numbing,,numbness,numbing,numbing fingers
123,Q: hypothyroidism symptoms\nA:,hypothyroidism,hypothyroidism,std.,hypothyroidism,Hypothyroidism,symptoms of hypothyroidism,symptoms of hypothyroidism,a thyroid tumor,hypothyroidism,hypothyroidism
126,Q: birth control suppression antral follicle count\nA:,10,iv,male follicle count,anticonvulsant,eta,is an antral follicle count,follicle count,follicle count,antral,follicle count
127,Q: glasses for computer\nA:,pens,pens,are good,ipod,a computer monitor,are not big enough,a laptop,scuba,snuggle,slender
130,Q: neck and shoulder stretches\nA:,", tuck your hand under the knees and your knees and your torso, then lift your right leg and the left arm to your right.",,"A squat position is to stretch both shoulders, but not the neck, and if you are lying down on a couch, you should stretch your shoulders.",,the shoulder blades,,"Using a large, wide object, move your hands to the side of the body, holding one hand, and move your fingers over your shoulders.",tuck your neck and shoulder in and stretch your neck and shoulders.,adalah - asada - adi alah - asada - adi alah,
131,Q: exercises for better posture\nA:,Use a thigh brace,,stretches,Sit in your back straight,do stretches,stretches and exercises,seated,chin biceps,Take a short walk outside to calm your mind.,acrobatics
132,Q: headpats scalp psoriasis\nA:,psoriasis,psoriasis,psoriatic arthritis,psoriasis,skin cancer,psoriasis,psoriasis,psoriasis - a skin condition,psoriasis,psoriasis
