qid,query,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10
58,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: Risk to develop multiple sclerosis\nComplete Answer:",Symptoms of multiple sclerosis,Symptoms,Risk to develop multiple sclerosis,a risk of multiple sclerosis,Respiratory medication,Symptoms of multiple sclerosis,Symptoms of multiple sclerosis,"For more information on how to manage sclerosis, contact the eHealth Centers for Disease Control and Prevention (CDCDC) at 913-778-5255.",Identify a risk to developing multiple sclerosis,Predator: The risk of multiple sclerosis
59,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: long-term effects likelihood multiple sclerosis\nComplete Answer:",Multiple sclerosis,a clinical trial of multiple sclerosis,Among patients with multiple sclerosis,sclerosis,", multiple sclerosis ,",Multiple sclerosis,Several sclerosis,Symptoms of multiple sclerosis,Multiple sclerosis,long-term effects likelihood
62,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: disclosing multiple sclerosis at work, how will colleagues react?\nComplete Answer:","Those who do this are likely to be negatively affected by the data on the patient, resulting in the same feeling that they experienced for the other patients.","(doesn't matter how long you work, sometimes)",a dissatisfied employee,"Using a computer, you will be able to identify the health problem and identify the problem and identify the problems and problems with your partner.",the most likely,React to each other and let us know what else we can do.,,• Learn about the effects of multiple sclerosis on patients,"Answers to common consumer search queries about health.nQuestion: Dissolving multiple sclerosis at work, how will colleagues react?",Answers for all consumer queries
63,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: Will multiple sclerosis affect my career?\nComplete Answer:",Multiple sclerosis is an ongoing health issue in the United States.,"Multiple sclerosis , along with Parkinson's , can affect my career?",Multiple sclerosis,Multiple sclerosis,No,Multiple sclerosis,Many people are diagnosed with multiple sclerosis.,A multiple sclerosis (sclerosis) is the disease that affects a person.,Multiple sclerosis affects a student or college student.,Multiple sclerosis
68,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: List of multiple sclerosis symptoms\nComplete Answer:",Multiple sclerosis symptoms,Multiple sclerosis symptoms,Symptoms of multiple sclerosis,- [hd],Multiple sclerosis symptoms,Multiple sclerosis,Multiple sclerosis,,Multiple sclerosis,Symptoms of multiple sclerosis
72,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: Is the Covid-19 vaccine safe for people taking multiple sclerosis drugs?\nComplete Answer:",Yes,No,No,nQuestion: No,Yes,Yes,Yes,It can be used as a drug to treat multiple sclerosis.,Yes,The Covid-19 vaccine is not safe for people with multiple sclerosis.
77,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: How do menopause symptoms relate to multiple sclerosis symptoms?\nComplete Answer:",Menopause symptoms relate to multiple sclerosis symptoms,Symptoms of multiple sclerosis:,(I),It is the most common cause of many menopause symptoms.,Menopause symptoms relate to multiple sclerosis symptoms,the following is a list of symptoms that can arise from menopause:,Menopause symptoms relate to multiple sclerosis symptoms,Menopause symptoms relate to multiple sclerosis symptoms,Menopause symptoms relate to multiple sclerosis symptoms,Menopause symptoms relate to multiple sclerosis symptoms
79,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: Can I pass multiple sclerosis to other family members?\nComplete Answer:",Yes,Yes,No,It is not possible to pass multiple sclerosis to other family members.,I have to give a name for the person and my family to pass multiple sclerosis to me,Yes,Medications and treatments to treat multiple sclerosis include:,No,No,Yes
81,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: Can I work and study full-time with multiple sclerosis?\nComplete Answer:",No,Yes,No,Yes,No,No,Can I work and study full-time with multiple sclerosis?,Yes,Yes,Yes
83,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: Why get episode diagnosed by a doctor as a relapse of multiple sclerosis?\nComplete Answer:",Doctors are inexperienced in diagnosing multiple sclerosis.,"Overdoses of radiation, if not administered.",It is a diagnostic factor,Some people have been diagnosed with multiple sclerosis,Because of a combination of multiple sclerosis and related underlying conditions.,Because the episodes are incomplete,relapse of multiple sclerosis,I am aware of the symptoms of multiple sclerosis.,The physician may suggest a physician who will treat the problem of multiple sclerosis.,Because it is important to have a doctor.
85,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: Relapsing remitting multiple sclerosis\nComplete Answer:",remitting multiple sclerosis,remitting multiple sclerosis,remitting multiple sclerosis,Relapsing remitting multiple sclerosis,reducing multiple sclerosis,Respiratory remitting multiple sclerosis,rxs,remitting multiple sclerosis,remitting multiple sclerosis,Multiple sclerosis
86,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: Secondary progressive multiple sclerosis\nComplete Answer:",Secondary progressive multiple sclerosis,Secondary progressive multiple sclerosis,Secondary progressive multiple sclerosis,Secondary progressive multiple sclerosis,Secondary progressive multiple sclerosis,Secondary progressive multiple sclerosis,Secondary progressive multiple sclerosis,Secondary progressive multiple sclerosis,Secondary progressive multiple sclerosis,Secondary progressive multiple sclerosis
92,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: causes of fatigue in MS\nComplete Answer:",reactivity to the food chain,MS,MS,a lack of blood glucose,Cough and bruising,C-richness,Respiratory fatigue in MS,Symptoms of fatigue in MS,MS,MS
93,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: Does multiple sclerosis relate to sleeping problems and forgetfulness in older people?\nComplete Answer:",Yes,Multiple sclerosis is associated with sleep problems and forgetfulness in older people.,Yes,"Multiple sclerosis is a serious illness, and can lead to people putting too much pressure on themselves and others.",Multiple sclerosis is a neurological disorder that enables people to recover and repair themselves.,Multiple sclerosis is a common health condition in older people.,No,"Multiple sclerosis is the main cause of sleepiness, a common disease related to depression and anxiety.",Multiple sclerosis is an common condition in older people and can be diagnosed as the primary cause.,No
94,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: When will I start to feel better with multiple sclerosis?\nComplete Answer:",6 days,if you feel a little bit sick,January 20,The diagnosis of multiple sclerosis is a common medical condition affecting people with multiple sclerosis.,"October 16, 2018",January 2019,6 months,In the early stages of the disease,During the course of the treatment,"January 27, 2018"
95,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: Reading problems in MS\nComplete Answer:","Suggest that a person with a history of brain disease drank a lot more milk, or a cough for two hours.",-,Symptoms of dysentery,nQuestion: Reading problems in MSnComplete,a medical knowledge assistant,MS,Symptoms of diabetes,scholastic,MS,(A)
96,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: most efficient and sustainable diets\nComplete Answer:",Healthy and sustainable diets,Nutrition,Nutrition,How to calculate calorie intake,Health and wellness,Nutrition,Nutrition,Answers,.,a nutrition expert
97,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: benefits of physical activity\nComplete Answer:","provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.nQuestion: Benefits of physical activity",Physical activity for people,Health benefits,Taking a part in physical activity and using it for a healthy lifestyle.,Health benefits,health indices,Health benefits,equine,Having access to information and insights.,-- a medical knowledge assistant
98,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: most common complications in pregnancy\nComplete Answer:",rhoea,Common complications in pregnancy,complications in pregnancy,neopregnant,complications in pregnancy,Pregnant complications,obstetrician and pelvic genital cancer,chromosomes,abrasions,adenocarcinoma
101,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: heavy flares swelling lymph nodes\nComplete Answer:",,swollen lymph nodes,: heavy flares swelling lymph nodes,nQuestion: Heavy flares swelling lymph nodes,ophthalmologist,Viruses,Search for light emitted by lymph nodes,a weakened lungs,nQuestion: heavy flares swelling lymph nodes,swollen lymph nodes
102,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: randomly gotten eczema\nComplete Answer:",eczema,eczema,eczema,eczema,eczema,dr olf,eczema,eczema,obchodo,senescence
105,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: wisdom tooth cuts gum pain\nComplete Answer:",nQuestion: Wisdom tooth cuts gum painnComplete,nQuestion: wisdom tooth cuts gum pain,Dental questions,nQuestion: wisdom tooth cuts gum pain,Answer: wisdom tooth cuts gum pain,nQuestion: wisdom tooth cuts gum pain,nQuestion: Wisdom tooth cuts gum pain,nQuestion: wisdom tooth cuts gum pain,How to diagnose and treat gum pain,nQuestion: wisdom tooth cuts gum pain
107,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: medication adhd anxiety\nComplete Answer:",ADHD medication,ADHD,ADHD,ADHD,NSAIDs,Addiction,Addiction medication,Answers to common consumer queries about health,adnip drug,ADHD medication
108,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: chronic diarrhea short-term memory sweating inability to regulate body temperature heart palpitations dysautonomia\nComplete Answer:",chronic diarrhea short-term memory sweating inability to regulate body temperature heart palpitations dysautonomia,heart palpitations dysautonomia,chronic diarrhea short-term memory sweating inability to regulate body temperature heart palpitations dysautonomia,- Do not take medications to reduce symptoms of chronic diarrhea,chronic diarrhea short-term memory sweating inability to regulate body temperature heart palpitations dysautonomia,heart palpitations dysautonomia,heart palpitations dysautonomia,Chronic diarrhea short-term memory sweating inability to regulate body temperature heart palpitations dysautonomia,.,sex sensitivity
109,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: ehlers danlos syndrome POTS nausea stomach pain\nComplete Answer:",ehlers danlos syndrome,POTS,ehlers danlos syndrome,ehlers danlos syndrome,ehlers danlos syndrome,POTS,POTS,ehlers danlos syndrome,ehlers danlos syndrome,ehlers danlos syndrome
112,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: symptoms of asthma\nComplete Answer:","Sickness, weakness, and fear",Symptoms of asthma,"Ask yourself this question: Are you a doctor, or an asthma specialist?",Symptoms of asthma,acute asthma symptoms,Symptoms of asthma,Symptoms of asthma,Symptoms of asthma,Symptoms of asthma,asthma
113,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: asthma and covid\nComplete Answer:",nQuestion: asthma and covid,ii,apnea and covid,apsis and covid,Asthma and covid,The health complications of asthma and covid,bronchial,a.k.a. asthma and covid,nCases,Answers for asthma and covid
114,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: borderline personality disorder symptoms\nComplete Answer:",ADHD,Symptoms of borderline personality disorder,Symptoms of borderline personality disorder,Symptoms of borderline personality disorder,symptoms of borderline personality disorder,Symptoms of borderline personality disorder,Symptoms of borderline personality disorder,Symptoms of Borderline personality disorder,Symptoms of borderline personality disorder,Symptoms of borderline personality disorder
116,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: outcome prostate cancer\nComplete Answer:",Answer: prostate cancer,: [i],Answer: Prostate cancer,,answers to common consumer search queries about health,Symptoms: Prostate Cancer,"Despite the fact that some people are having prostate cancer, this is not the case.",- USATODAY.com,Symptoms of prostate cancer,Answer: prostate cancer
117,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: stage 4 metastatic lung cancer outcome\nComplete Answer:",Stage 4 metastatic lung cancer outcome,Cancer,Stage 4 metastatic lung cancer,Stage 4,a.m.,nQuestion: Stage 4 metastatic lung cancer,(advanced),Type 4,Acute lung cancer,Stage 4 metastatic lung cancer
118,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: stage 4 triple negative breast cancer treatment\nComplete Answer:",Stage 4 triple negative breast cancer treatment,a,X-rays,Treatment for breast cancer,breast cancer,Stage 4 triple negative breast cancer treatment,Cancer,dr. gp.,adrenozine,a high-risk drug
119,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: best pillow neck pain\nComplete Answer:",Answer: best pillow neck painnComplete,Is it best to relax and stretch your head when you're going to a party?,nQuestion: best pillow neck painnComplete,Top 5,d-n-b-b-h-p-p-h,This is the best pillow neck pain.,-Pitt Neck Pain -,nQuestion: Best pillow neck pain,Answer: Best pillow neck pain,Sleeping correctly
121,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: numb fingers arthritis\nComplete Answer:",numb fingers arthritis,numb fingers arthritis,numb fingers arthritis,numb fingers arthritis,numb fingers arthritis,numb fingers arthritis,numb fingers arthritis,numb fingers arthritis,numb fingers,numb fingers arthritis
123,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: hypothyroidism symptoms\nComplete Answer:",Symptoms of hypothyroidism,Symptoms of hypothyroidism,Hypothyroidism symptoms,Symptoms of hypothyroidism,Hypothyroidism,hypothyroidism symptoms,Symptoms of hypothyroidism,Hypothyroidism,Hypothyroidism,thyroid
126,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: birth control suppression antral follicle count\nComplete Answer:",nQuestion: birth control suppression antral follicle countnComplete,Acute and autoimmune diseases,BILDO-DJ-F.,phlegm,phd,giddy,nWhat is antral follicle count?,nQuestion: birth control suppression antral follicle count,x-ray,mucigin espiritual
127,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: glasses for computer\nComplete Answer:",nQuestion: Glass for ComputernComplete,Glasses for computer,Glasses for computer,nQuestion: Glass for Computer,Scissories,ephemeral,MRIs,a computer glasses,"Science, Technology, and Invent",nQuestion: Glass for PC
130,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: neck and shoulder stretches\nComplete Answer:",neck and shoulder stretches,stretches,eluol,Answer: Neck and shoulder stretches,stretches,stretches for neck and shoulder,Neck and shoulder stretches,Neck and shoulder stretches,Answer: Neck and shoulder stretches,neck and shoulder stretches
131,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: exercises for better posture\nComplete Answer:",nQuestion: Exercises for better posturenComplete,elliptical exercises for better posture,Use a professional equipment to help you learn and research the health problems and conditions associated with your condition.,Exercises for better posture,Exercises for better posture,exercise to improve posture,Doing exercise for better posturenQuestion: Exercises for better posturenComplete,You are a helpful medical knowledge assistant.,Exercises for better posture,Exercises for better posture
132,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: headpats scalp psoriasis\nComplete Answer:",Headpats scalp psoriasis,headpats scalp psoriasis,psoriasis,psoriasis,headps scalp psoriasis,Headpasts scalp psoriasis,Headpats scalp psoriasis,Headps scalp psoriasis,headpats scalp psoriasis,hair psoriasis
